Nr identyfikacyjny księgarni zatrudnienia,PESEL,Imię,Nazwisko,Data urodzenia,Wykształcenie,Stanowisko,Data przyjęcia,Data zwolnienia
15,72011677111,Burma,Bowman,1/16/1972,technik,sprzedawca,3/29/2004,
15,62012469055,Zelma,Burke,1/24/1962,podstawowe,sprzedawca,4/23/1983,3/1/2008
15,75060349172,Jerrica,Harvey,6/3/1975,doktor,sprzedawca,3/9/1997,2/24/2002
15,83102898256,Rosy,Block,10/28/1983,średnie,sprzedawca,11/10/2006,11/1/2013
15,86053152572,Lizette,Botsford,5/31/1986,profesor,sprzedawca,11/22/2009,
15,68100883677,Alana,Schuster,10/8/1968,inżynier,sprzedawca,9/13/1997,
16,72111969831,Gilbert,Fowler,11/19/1972,technik,sprzedawca,9/9/1996,
16,75120620115,Romona,Wheeler,12/6/1975,średnie,dyrektor,11/17/2012,
16,90041607575,Debera,Russell,4/16/1990,podstawowe,sprzedawca,10/24/2010,
16,86082335072,Sade,Carroll,8/23/1986,podstawowe,sprzedawca,5/6/2009,
16,82083013975,Jerald,Grimes,8/30/1982,średnie,sprzedawca,3/27/2004,10/18/2012
16,69110988356,Kurtis,Gutkowski,11/9/1969,doktor,sprzedawca,1/14/2011,
17,82100103694,Rosia,Bennett,10/1/1982,licencjat,dyrektor,6/5/2000,
17,72112161874,Wyatt,Schaefer,11/21/1972,technik,sprzedawca,11/3/1999,
17,71041807516,Shanell,Sullivan,4/18/1971,technik,sprzedawca,12/27/2012,
17,82051408271,Jaclyn,Schneider,5/14/1982,średnie,sprzedawca,4/21/2000,12/4/2004
17,90072209854,Merri,Ondricka,7/22/1990,licencjat,sprzedawca,2/18/2012,
17,66120368839,Natosha,Mohr,12/3/1966,licencjat,sprzedawca,9/21/1986,
18,71070386310,Dorathy,Larkin,7/3/1971,profesor,sprzedawca,9/23/1993,3/1/1996
18,75011692052,Micheline,Robertson,1/16/1975,inżynier,dyrektor,12/5/1994,
18,74042638338,Damion,Phillips,4/26/1974,technik,sprzedawca,2/10/1994,11/26/1996
18,67050268419,Waylon,Beer,5/2/1967,magister,sprzedawca,5/11/2005,
18,84020681557,Thuy,Young,2/6/1984,technik,sprzedawca,3/3/2012,1/15/2014
18,84083028076,Kathline,Gerhold,8/30/1984,magister,sprzedawca,2/5/2005,5/9/2010
18,77042137272,Carissa,Schumm,4/21/1977,licencjat,sprzedawca,4/7/1995,
18,67032677132,Muriel,Edwards,3/26/1967,magister,sprzedawca,2/21/1994,
18,63010850234,Sueann,Evans,1/8/1963,inżynier,sprzedawca,4/13/1988,6/16/2005
18,62091485131,Kiara,Schmidt,9/14/1962,licencjat,sprzedawca,9/25/1981,
19,68060654814,Linette,O'Hara,6/6/1968,podstawowe,sprzedawca,3/29/1994,3/31/2007
19,83081611455,Amos,Russell,8/16/1983,średnie,sprzedawca,5/8/2002,8/30/2004
19,86040156837,Charley,Coleman,4/1/1986,magister,sprzedawca,1/18/2011,
19,80083118195,Margaretta,Green,8/31/1980,licencjat,sprzedawca,8/2/2003,
19,75120519558,Suzanna,Windler,12/5/1975,podstawowe,sprzedawca,10/19/2010,
19,76030762678,Angelyn,Shields,3/7/1976,podstawowe,sprzedawca,2/29/2008,12/18/2014
19,61121964572,Angella,Feil,12/19/1961,doktor,sprzedawca,8/30/1989,
19,87121691294,Pablo,Kuhlman,12/16/1987,profesor,dyrektor,10/15/2006,
20,71091104090,Quentin,Cummings,9/11/1971,inżynier,sprzedawca,4/8/2003,
20,71101240211,Bonita,Mraz,10/12/1971,podstawowe,sprzedawca,12/15/1991,
20,78081376132,Ashlie,Roob,8/13/1978,profesor,sprzedawca,9/6/1997,
20,76061877293,Eleanora,Howard,6/18/1976,średnie,dyrektor,3/31/1996,
20,77102926471,Dan,Hammes,10/29/1977,średnie,sprzedawca,1/19/2000,
21,87120282479,Stacy,Toy,12/2/1987,doktor,sprzedawca,1/5/2011,
21,81101779930,Wesley,Kim,10/17/1981,magister,sprzedawca,4/2/2005,9/6/2008
21,61022231775,Roberta,Green,2/22/1961,magister,dyrektor,4/17/2008,
21,82101249094,Jen,Lind,10/12/1982,profesor,sprzedawca,12/17/2012,
21,84041456079,Vilma,Heathcote,4/14/1984,magister,sprzedawca,10/17/2007,5/29/2009
21,87100278555,Ashlee,Bishop,10/2/1987,magister,sprzedawca,2/22/2011,
21,74072340694,Raelene,Webb,7/23/1974,podstawowe,sprzedawca,1/3/2006,11/29/2014
21,85082794834,Simone,Jenkins,8/27/1985,technik,sprzedawca,12/2/2007,3/2/2013
21,62012266096,Jayme,Osinski,1/22/1962,średnie,sprzedawca,5/6/2008,10/24/2014
21,61021393698,Tomoko,Gray,2/13/1961,inżynier,sprzedawca,10/20/2003,
22,72042190834,Genevie,Powell,4/21/1972,średnie,sprzedawca,10/28/2006,12/2/2014
22,87021362131,Celinda,O'Reilly,2/13/1987,inżynier,sprzedawca,3/24/2011,
22,70011394973,Shona,Cole,1/13/1970,doktor,dyrektor,8/25/2011,
22,88070278471,Wanetta,Ford,7/2/1988,profesor,sprzedawca,7/11/2010,
22,81061349318,Basilia,Lubowitz,6/13/1981,podstawowe,sprzedawca,3/22/2008,
22,89012191298,Yuette,Towne,1/21/1989,inżynier,sprzedawca,2/15/2010,
23,81082325395,Lady,Becker,8/23/1981,profesor,sprzedawca,10/21/2012,11/30/2014
23,74110662012,Kara,Morales,11/6/1974,średnie,sprzedawca,1/23/1997,10/5/2002
23,85061286097,Sherilyn,Carr,6/12/1985,magister,sprzedawca,6/7/2012,
23,89041960250,Luvenia,Bell,4/19/1989,inżynier,sprzedawca,4/27/2009,
23,81050270359,Rebbeca,Howard,5/2/1981,licencjat,dyrektor,5/21/2002,
23,83022265091,Hayden,Ankunding,2/22/1983,magister,sprzedawca,1/25/2002,
23,72032726311,Fabiola,Ross,3/27/1972,licencjat,sprzedawca,12/18/2008,
24,80042049454,Bernie,Henry,4/20/1980,podstawowe,sprzedawca,7/12/2012,5/20/2014
24,84090815797,Lacresha,Hernandez,9/8/1984,doktor,dyrektor,5/17/2007,
24,61012662239,Johnnie,Wolff,1/26/1961,magister,sprzedawca,3/5/2011,
24,74030477053,Lorilee,Tremblay,3/4/1974,doktor,sprzedawca,6/2/2003,
24,65061905932,Leesa,Morales,6/19/1965,inżynier,sprzedawca,2/16/2000,9/5/2002
24,64092011971,Joline,Pacocha,9/20/1964,magister,sprzedawca,10/22/1988,
24,80051868716,Teressa,Wright,5/18/1980,magister,sprzedawca,8/19/2001,
25,66022488936,Serina,Borer,2/24/1966,profesor,dyrektor,7/8/2009,
25,76050633217,Marin,Halvorson,5/6/1976,doktor,sprzedawca,10/26/2011,
25,69041292551,Yulanda,Durgan,4/12/1969,podstawowe,sprzedawca,9/26/2012,
25,69091700293,Henrietta,Wagner,9/17/1969,technik,sprzedawca,7/25/1997,
25,89121264096,Johnsie,Langosh,12/12/1989,technik,sprzedawca,5/10/2008,
26,64032621376,Danette,Boyle,3/26/1964,technik,sprzedawca,4/26/1991,
26,66080552950,Tanya,Waters,8/5/1966,profesor,sprzedawca,4/22/1994,
26,85021725518,Natashia,Will,2/17/1985,podstawowe,sprzedawca,9/8/2007,
26,78121946798,Stacee,Morales,12/19/1978,doktor,sprzedawca,9/27/2004,
26,66060983093,Grayce,Kelley,6/9/1966,doktor,dyrektor,3/16/1984,
27,80120235379,Laronda,Kuhic,12/2/1980,profesor,sprzedawca,12/20/2006,
27,66082489131,Seth,Shields,8/24/1966,technik,dyrektor,12/16/1984,
27,77041220737,Tori,Paucek,4/12/1977,magister,sprzedawca,12/15/1999,
27,69012500092,Maranda,Kuvalis,1/25/1969,doktor,sprzedawca,8/30/2002,7/9/2012
27,77031527451,Catrina,Kub,3/15/1977,podstawowe,sprzedawca,10/31/2006,
27,79112310017,Pilar,Rivera,11/23/1979,profesor,sprzedawca,12/28/2002,
28,67010762698,Syreeta,McClure,1/7/1967,inżynier,sprzedawca,4/3/2009,
28,65120378378,Lora,Satterfield,12/3/1965,średnie,sprzedawca,6/23/2008,6/16/2014
28,80120195639,Cristi,Jacobson,12/1/1980,profesor,sprzedawca,3/25/2009,5/9/2013
28,72080265932,Deandrea,Gorczany,8/2/1972,technik,sprzedawca,4/22/2000,
28,69020723074,Risa,Pacocha,2/7/1969,inżynier,sprzedawca,5/23/2011,2/7/2014
28,63062074132,Amiee,Eichmann,6/20/1963,profesor,sprzedawca,3/21/1994,
28,61110330911,Laverne,Kohler,11/3/1961,magister,sprzedawca,1/1/2002,
28,84072722376,Samual,Ross,7/27/1984,magister,dyrektor,3/13/2006,
29,80080839552,Mayola,Reilly,8/8/1980,profesor,sprzedawca,12/8/2012,1/29/2014
29,68081366536,Minta,Hegmann,8/13/1968,licencjat,sprzedawca,6/10/2005,10/24/2013
29,75083102659,Ginny,Oliver,8/31/1975,doktor,sprzedawca,8/19/1993,1/20/2008
29,74031696471,Tawny,Corwin,3/16/1974,podstawowe,sprzedawca,8/23/1992,
29,66120844919,Veronique,Christiansen,12/8/1966,doktor,sprzedawca,6/14/1987,1/5/2011
29,74071514571,Jayson,Evans,7/15/1974,podstawowe,sprzedawca,9/4/2001,6/19/2014
29,78040294259,Winona,Donnelly,4/2/1978,inżynier,sprzedawca,11/20/2010,
29,70031442753,Charis,Schmeler,3/14/1970,technik,sprzedawca,6/4/1996,3/20/2010
29,67022708473,Chauncey,Grant,2/27/1967,licencjat,sprzedawca,1/9/2001,5/14/2006
29,85041885058,Eusebio,Cox,4/18/1985,doktor,sprzedawca,9/14/2004,8/27/2006
29,62051786399,Armando,Maggio,5/17/1962,inżynier,dyrektor,10/20/2002,
29,85072374259,Emmaline,Aimonetti,7/23/1985,średnie,sprzedawca,10/25/2006,
29,74101213933,Ebony,Reilly,10/12/1974,licencjat,sprzedawca,10/16/1992,12/22/2008
29,82112994611,Audry,Doyle,11/29/1982,licencjat,sprzedawca,11/24/2008,
30,61042380273,Bridgette,Stroman,4/23/1961,profesor,sprzedawca,3/18/2003,
30,78011527753,Hilde,Sanford,1/15/1978,doktor,sprzedawca,6/7/1999,
30,78090580517,Gayle,Bartoletti,9/5/1978,inżynier,dyrektor,2/6/2006,
30,63091108754,Hildegard,Baumbach,9/11/1963,podstawowe,sprzedawca,8/30/2002,
30,84031082013,Cortney,Scott,3/10/1984,inżynier,sprzedawca,12/29/2008,7/24/2013
30,66020156813,Toi,Dickens,2/1/1966,podstawowe,sprzedawca,3/17/1996,
31,88122019414,Jame,Dickinson,12/20/1988,profesor,sprzedawca,6/28/2008,12/26/2012
31,72053001114,Tiara,Lind,5/30/1972,inżynier,dyrektor,2/12/1992,
31,62080331319,Carlyn,Mcdonald,8/3/1962,doktor,sprzedawca,6/17/2008,
31,90122923097,Kathern,Dickinson,12/29/1990,doktor,sprzedawca,6/13/2010,
31,86062722294,Rozella,Deckow,6/27/1986,profesor,sprzedawca,12/8/2005,3/21/2013
31,70092653015,Peggy,Harvey,9/26/1970,licencjat,sprzedawca,4/16/1995,
31,76112731431,Mariette,Casper,11/27/1976,profesor,sprzedawca,12/19/2010,
32,71042814638,Sherley,Weber,4/28/1971,licencjat,sprzedawca,10/23/2000,2/13/2009
32,75100346619,Terresa,Chavez,10/3/1975,technik,sprzedawca,2/13/1993,
32,78061933557,Elodia,O'Connell,6/19/1978,profesor,dyrektor,1/2/1998,
32,78041120676,Gabriella,Gulgowski,4/11/1978,średnie,sprzedawca,3/26/1998,
32,62072271359,Bradley,Gordon,7/22/1962,profesor,sprzedawca,4/15/1987,
32,80020764935,Verona,Wilderman,2/7/1980,profesor,sprzedawca,4/18/2007,10/29/2012
32,64062435334,Isadora,Feest,6/24/1964,doktor,sprzedawca,10/13/1999,
33,70032661911,Afton,Mante,3/26/1970,technik,sprzedawca,7/24/1989,
33,62060116954,Candra,Keeling,6/1/1962,licencjat,sprzedawca,8/6/1991,1/27/1993
33,80072157158,Mario,Jacobs,7/21/1980,technik,sprzedawca,6/19/2009,
33,82102340398,Carlo,Alexander,10/23/1982,średnie,sprzedawca,2/27/2007,12/6/2012
33,89092343396,Pamula,Bishop,9/23/1989,profesor,sprzedawca,5/7/2009,12/27/2012
33,68022008211,Porfirio,Kulas,2/20/1968,średnie,sprzedawca,12/26/1996,
33,78071120150,Freeda,Wheeler,7/11/1978,licencjat,sprzedawca,5/29/1997,
33,64061931770,Leonel,Robel,6/19/1964,inżynier,dyrektor,7/19/1985,
34,85090181457,Chadwick,Fowler,9/1/1985,podstawowe,sprzedawca,7/11/2006,3/16/2008
34,63112725517,Sang,Beatty,11/27/1963,licencjat,sprzedawca,2/17/2000,
34,74052528032,Andy,Moreno,5/25/1974,średnie,dyrektor,5/28/2008,
34,63101120596,Gale,Kassulke,10/11/1963,doktor,sprzedawca,6/7/1997,
34,74081052416,Rona,Rose,8/10/1974,inżynier,sprzedawca,9/24/1998,
34,86062285313,May,Hyatt,6/22/1986,doktor,sprzedawca,7/20/2006,
35,83022126093,Vinita,Homenick,2/21/1983,średnie,dyrektor,10/15/2011,
35,85122492593,Lilia,Brown,12/24/1985,średnie,sprzedawca,6/6/2009,2/26/2013
35,86050528051,Thao,Kunze,5/5/1986,inżynier,sprzedawca,12/8/2009,
35,65032071932,Theo,Koepp,3/20/1965,profesor,sprzedawca,9/24/1984,9/8/1987
35,69032905691,Jere,Jackson,3/29/1969,profesor,sprzedawca,11/13/1996,
35,72043013699,Mitsuko,Russell,4/30/1972,inżynier,sprzedawca,2/9/2008,
35,62040897390,Bonnie,Rath,4/8/1962,doktor,sprzedawca,3/9/1980,12/20/1987
35,76103044375,Chara,Metz,10/30/1976,średnie,sprzedawca,9/10/2010,8/20/2014
35,76011648753,Claire,Auer,1/16/1976,licencjat,sprzedawca,5/10/2005,
36,82122846117,Soo,Raynor,12/28/1982,licencjat,sprzedawca,10/15/2002,
36,83121226490,Mayola,Erdman,12/12/1983,podstawowe,sprzedawca,3/17/2003,
36,88090690257,Shila,Ward,9/6/1988,profesor,dyrektor,8/29/2011,
36,71012005910,Octavia,Abshire,1/20/1971,magister,sprzedawca,11/14/1989,
36,71022414898,Angelia,Kreiger,2/24/1971,podstawowe,sprzedawca,10/3/2012,
37,87120872492,Luise,Champlin,12/8/1987,licencjat,sprzedawca,5/2/2005,5/10/2008
37,69071353376,Sherlyn,Hintz,7/13/1969,licencjat,sprzedawca,5/10/2010,9/16/2012
37,78020983832,So,Fritsch,2/9/1978,licencjat,sprzedawca,6/2/2000,
37,84090386039,Yvonne,Simonis,9/3/1984,magister,sprzedawca,7/1/2004,4/3/2008
37,66061740895,Arcelia,Foster,6/17/1966,magister,sprzedawca,5/18/1988,
37,83091865831,Shayla,Volkman,9/18/1983,magister,sprzedawca,4/21/2008,9/8/2012
37,77082631176,Dania,Williams,8/26/1977,magister,sprzedawca,8/25/1998,1/8/2014
37,73021338773,Scott,Schumm,2/13/1973,średnie,sprzedawca,1/1/1991,
37,82053155898,Manuela,Purdy,5/31/1982,magister,dyrektor,10/11/2005,
37,62071530693,Hang,Weaver,7/15/1962,magister,sprzedawca,2/9/2005,
38,73111201796,Tova,Matthews,11/12/1973,magister,sprzedawca,3/12/2005,
38,87102107554,Shara,Banks,10/21/1987,doktor,dyrektor,1/9/2007,
38,65022395796,Janina,Sawayn,2/23/1965,technik,sprzedawca,6/18/1990,
38,84091422071,Elwanda,Effertz,9/14/1984,technik,sprzedawca,4/30/2005,
38,62071379751,Concepcion,Lubowitz,7/13/1962,profesor,sprzedawca,2/24/2010,
39,64012362550,Madonna,Bosco,1/23/1964,technik,sprzedawca,11/20/1996,9/13/2000
39,86042696597,Chi,Boyer,4/26/1986,magister,sprzedawca,8/13/2006,3/1/2014
39,75100308619,Long,Kertzmann,10/3/1975,podstawowe,sprzedawca,2/20/1997,
39,87090898931,Gene,Holmes,9/8/1987,podstawowe,sprzedawca,10/24/2009,
39,68112836216,Jetta,Hauck,11/28/1968,technik,sprzedawca,8/27/1991,
39,65041765095,Arlean,Corwin,4/17/1965,średnie,sprzedawca,6/5/2008,11/24/2012
39,66011267775,Jacqulyn,Dare,1/12/1966,doktor,sprzedawca,8/10/2000,
39,72020965270,Sharri,Beier,2/9/1972,inżynier,dyrektor,1/14/1992,
40,66070346055,Florrie,Wyman,7/3/1966,podstawowe,sprzedawca,10/22/2007,1/31/2013
40,86051438292,Librada,Daugherty,5/14/1986,magister,sprzedawca,11/21/2011,
40,62041092992,Curt,Langosh,4/10/1962,profesor,sprzedawca,7/1/2009,2/20/2014
40,61011877553,Tawanna,Orn,1/18/1961,magister,sprzedawca,7/29/2005,
40,70120369097,Larhonda,Scott,12/3/1970,podstawowe,sprzedawca,5/30/2004,
40,89041565257,Hilton,Marks,4/15/1989,technik,dyrektor,11/9/2012,
40,62011545671,Randee,Barrows,1/15/1962,licencjat,sprzedawca,10/19/1983,
41,69011823918,Malvina,Braun,1/18/1969,licencjat,dyrektor,2/6/1987,
41,74120702876,Sebastian,Hughes,12/7/1974,podstawowe,sprzedawca,9/22/1992,
41,74071226131,Hassan,Robinson,7/12/1974,magister,sprzedawca,3/1/1997,
41,69120909354,Candance,Tremblay,12/9/1969,podstawowe,sprzedawca,1/18/2005,
41,78092270016,Mauro,Treutel,9/22/1978,średnie,sprzedawca,4/8/1999,
42,82050644410,Catharine,Barnes,5/6/1982,średnie,sprzedawca,7/27/2007,
42,64030822274,Margherita,Lang,3/8/1964,średnie,sprzedawca,1/18/2000,
42,87012681418,Vonda,Simonis,1/26/1987,magister,dyrektor,9/9/2009,
42,89123118539,Pearline,Murazik,12/31/1989,doktor,sprzedawca,12/3/2012,
42,85122780896,Melinda,Duncan,12/27/1985,podstawowe,sprzedawca,8/8/2010,
